,PDB ID,Drug IDs
331,3S98,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB11976; DB14999
332,1DKF,DB00459; DB00523; DB00755; DB00799; DB00926; DB04942
335,1Y9R,DB00396; DB00421; DB00687; DB00700; DB01134; DB01395; DB04652; DB16165
336,3BJ4,DB04855
338,4RED,DB00914
341,1LPA,DB01083
342,1D2S,DB00675
344,1NAV,DB00279; DB00451; DB00509; DB01583
345,4PHU,DB00159
346,1AXM,DB00686; DB10772
349,1GQ4,DB00368; DB00373; DB00449; DB00489; DB00521; DB00598; DB00668; DB00816; DB00866; DB00867; DB00871; DB00901; DB00938; DB00960; DB00983; DB01001; DB01064; DB01210; DB01214; DB01274; DB01288; DB01291; DB01359; DB01363; DB01364; DB01366; DB01407; DB01408; DB04846; DB05039; DB05590; DB06262; DB06814; DB08807; DB09080; DB09082; DB09204; DB09273; DB11124; DB11587; DB13139
350,1A7X,DB00864
352,1A8M,DB00005; DB00051; DB00065; DB06674; DB08904; DB08910; DB10772; DB13751
354,2GL8,DB00210; DB00307; DB00459; DB00523; DB00755; DB00926; DB03756
357,3RJD,DB00028; DB06607; DB14962
358,1FG9,DB00033
360,1I0E,DB00148; DB13191
362,1YWH,DB00013
363,1CDB,DB00092
364,1B3O,DB00688; DB01024
368,2O2K,DB00115; DB00200; DB03614
372,1LWZ,DB00276; DB00380; DB00385; DB00444; DB00694; DB00773; DB00997; DB01177; DB01179; DB01204; DB01208; DB04576; DB04967; DB06013; DB09047
374,2EX2,DB00303; DB00760; DB01328; DB01329; DB01331; DB14879
376,1ABN,DB04272
377,1DJS,DB00039; DB08896; DB09078; DB09079; DB11886; DB12147; DB15102; DB15149; DB17587
379,1DMW,DB00360
